" Date","W1 Open","W1 Low","W1 High","W1 Close","W1 SMA (50D)","W1 SMA (200D)"
07-07-1983,"339.50 ","337.50 ","340.50 ","339.00 ","347.65 ","336.72 "
07-08-1983,"337.75 ","335.75 ","337.75 ","335.75 ","347.35 ","336.81 "
07-11-1983,"337.00 ","337.00 ","342.50 ","337.25 ","347.01 ","336.92 "
07-12-1983,"337.75 ","335.25 ","338.25 ","335.25 ","346.60 ","337.00 "
07-13-1983,"335.00 ","335.00 ","339.75 ","337.75 ","346.18 ","337.10 "
07-14-1983,"338.25 ","338.25 ","341.75 ","339.50 ","345.89 ","337.19 "
07-15-1983,"340.00 ","340.00 ","344.50 ","344.50 ","345.69 ","337.32 "
07-18-1983,"346.00 ","346.00 ","348.50 ","347.50 ","345.55 ","337.45 "
07-19-1983,"348.50 ","345.50 ","349.50 ","346.00 ","345.40 ","337.59 "
07-20-1983,"351.63 ","349.25 ","359.00 ","357.75 ","345.68 ","337.79 "
07-21-1983,"376.50 ","361.00 ","377.00 ","365.50 ","346.12 ","338.08 "
07-22-1983,"367.75 ","363.50 ","370.50 ","365.75 ","346.49 ","338.37 "
07-25-1983,"359.00 ","358.00 ","363.50 ","362.25 ","346.85 ","338.66 "
07-26-1983,"365.25 ","360.00 ","367.50 ","364.75 ","347.20 ","338.97 "
07-27-1983,"363.75 ","362.50 ","364.75 ","363.25 ","347.50 ","339.25 "
07-28-1983,"370.50 ","367.75 ","372.00 ","371.25 ","348.00 ","339.59 "
07-29-1983,"369.75 ","369.00 ","373.00 ","372.75 ","348.36 ","339.93 "
08-01-1983,"373.25 ","372.75 ","381.00 ","379.75 ","348.87 ","340.31 "
08-02-1983,"379.75 ","374.00 ","382.00 ","376.00 ","349.23 ","340.65 "
08-03-1983,"376.25 ","374.25 ","384.50 ","380.75 ","349.74 ","341.00 "
08-04-1983,"380.38 ","376.25 ","381.00 ","377.50 ","350.28 ","341.32 "
08-05-1983,"375.25 ","375.00 ","384.50 ","378.25 ","350.90 ","341.62 "
08-08-1983,"378.50 ","376.00 ","383.00 ","376.75 ","351.56 ","341.87 "
08-09-1983,"376.00 ","375.25 ","378.50 ","375.50 ","352.20 ","342.17 "
08-10-1983,"377.75 ","377.50 ","389.00 ","384.75 ","353.02 ","342.45 "
08-11-1983,"385.25 ","381.75 ","386.00 ","382.75 ","353.73 ","342.71 "
08-12-1983,"388.00 ","378.75 ","388.00 ","381.50 ","354.44 ","342.94 "
08-15-1983,"385.25 ","385.00 ","396.25 ","395.50 ","355.38 ","343.26 "
08-16-1983,"401.50 ","382.00 ","410.50 ","388.50 ","356.20 ","343.55 "
08-17-1983,"390.50 ","386.50 ","395.00 ","390.50 ","357.13 ","343.85 "
08-18-1983,"389.50 ","381.00 ","392.00 ","384.25 ","357.92 ","344.12 "
08-19-1983,"381.25 ","381.00 ","387.00 ","382.50 ","358.71 ","344.36 "
08-22-1983,"394.50 ","394.00 ","402.50 ","402.50 ","359.89 ","344.69 "
08-23-1983,"400.25 ","389.00 ","402.00 ","389.75 ","360.79 ","344.96 "
08-24-1983,"388.25 ","386.00 ","392.50 ","387.75 ","361.64 ","345.25 "
08-25-1983,"398.00 ","387.00 ","398.50 ","387.50 ","362.36 ","345.53 "
08-26-1983,"385.00 ","382.00 ","387.50 ","387.25 ","363.12 ","345.79 "
08-29-1983,"386.75 ","380.75 ","391.50 ","388.25 ","363.89 ","346.03 "
08-30-1983,"385.00 ","375.50 ","387.00 ","378.00 ","364.33 ","346.20 "
08-31-1983,"381.75 ","379.50 ","389.75 ","388.75 ","365.01 ","346.42 "
09-01-1983,"390.75 ","380.50 ","391.00 ","384.00 ","365.70 ","346.58 "
09-02-1983,"386.00 ","384.00 ","389.00 ","385.75 ","366.47 ","346.83 "
09-05-1983,"382.00 ","382.00 ","382.00 ","382.00 ","367.24 ","347.09 "
09-06-1983,"385.75 ","384.00 ","388.50 ","386.50 ","368.07 ","347.38 "
09-07-1983,"385.50 ","381.50 ","386.00 ","382.25 ","368.86 ","347.65 "
09-08-1983,"382.00 ","381.00 ","385.00 ","385.00 ","369.68 ","347.96 "
09-09-1983,"386.50 ","386.00 ","388.50 ","387.00 ","370.63 ","348.29 "
09-12-1983,"386.00 ","380.00 ","386.00 ","380.25 ","371.56 ","348.57 "
09-13-1983,"385.13 ","369.00 ","386.00 ","369.50 ","372.25 ","348.80 "
09-14-1983,"369.50 ","363.50 ","371.00 ","365.50 ","372.76 ","349.01 "
09-15-1983,"366.50 ","360.00 ","369.00 ","361.25 ","373.20 ","349.20 "
09-16-1983,"361.50 ","360.50 ","366.00 ","364.00 ","373.77 ","349.44 "
